Ocean,Country,Depth_M,Percent_Bleaching,Temperature_Mean,Temperature_MIN,Temperature_MAX,Year_Month,ocean_coordinate,latitude,longitude
Indian,South Africa,,12.22,24.53000000000003,20.02000000000004,29.24000000000001,2005-04,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,,14.29,24.510000000000048,19.760000000000048,29.430000000000007,2005-04,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,,14.9,24.510000000000048,19.760000000000048,29.430000000000007,2007-04,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,,15.85,24.510000000000048,19.760000000000048,29.430000000000007,2007-04,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,,17.86,24.510000000000048,19.760000000000048,29.430000000000007,2007-04,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,,17.88,24.54000000000002,19.620000000000005,31.640000000000043,2005-04,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,,17.89,24.53000000000003,19.890000000000043,29.29000000000002,2007-04,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,,19.21,24.53000000000003,19.890000000000043,29.29000000000002,2007-04,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,,20.31,24.510000000000048,19.760000000000048,29.430000000000007,2007-04,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,,21.83,24.510000000000048,19.760000000000048,29.430000000000007,2007-04,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,,22.93,24.53000000000003,20.02000000000004,29.24000000000001,2007-04,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,,26.07,24.5,19.94,32.39000000000004,2005-04,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,,27.05,24.53000000000003,20.02000000000004,29.24000000000001,2007-04,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,12.5,1.33,24.510000000000048,19.760000000000048,29.430000000000007,2000-12,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,19.0,1.6,24.53000000000003,19.890000000000043,29.29000000000002,2001-09,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,16.5,2.75,24.53000000000003,19.890000000000043,29.29000000000002,2001-09,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,19.0,3.0,24.53000000000003,19.890000000000043,29.29000000000002,2000-12,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,16.5,3.25,24.53000000000003,19.890000000000043,29.29000000000002,2000-12,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,16.5,3.75,24.53000000000003,19.890000000000043,29.29000000000002,2001-03,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,19.0,4.2,24.53000000000003,19.890000000000043,29.29000000000002,2001-03,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,12.5,4.67,24.510000000000048,19.760000000000048,29.430000000000007,2001-09,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,12.5,5.67,24.510000000000048,19.760000000000048,29.430000000000007,2001-03,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,,9.35,24.510000000000048,19.760000000000048,29.430000000000007,2007-04,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,,9.8,24.53000000000003,20.02000000000004,29.24000000000001,2005-04,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,,9.95,24.44,19.82000000000005,29.960000000000036,2005-04,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,,5.5,24.510000000000048,19.760000000000048,29.430000000000007,2000-03,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,10.3,0.25,24.510000000000048,19.760000000000048,29.430000000000007,2005-10,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,14.5,0.25,24.510000000000048,19.760000000000048,29.430000000000007,2005-10,SouthEast Atlantic Ocean,-25.0,0.0
Indian,South Africa,16.0,0.5,24.510000000000048,19.760000000000048,29.430000000000007,2005-10,SouthEast Atlantic Ocean,-25.0,0.0
